,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
3268064929368559554,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Machine Learning Is No Longer Just for Experts,Chatbots: Are they better without the chat?,Containers are not VMs,Google lança YouTube Kids no Brasil | Google Discovery
3269302169678465882,The barbell effect of machine learning.,This Super Accurate Portrait Selection Tech Uses Neural Networks,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Artificial intelligence is changing SEO faster than you think,Up your app's sharing game with DirectShare - Google Developers,Lists are the new search
3273084325487543386,The surprising truth about which countries lead in digital,A digital crack in banking's business model,What Google AMP Means for Every Marketer,Usability Heuristics for Bots - Chatbots Magazine,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",The future of the shopping mall
3294074907209583622,How will bots make money? Here are 7 business models,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",The return of the machinery question,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel
3301147467076954944,The Developer's Midlife Crisis: What's Next?,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Salesforce Architect Journey,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,You don't talk about refactoring club,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket
3306277069425849869,Google segue Microsoft e lança ferramenta analítica grátis,Why the customer experience matters,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Is FinTech Forcing Banking to a Tipping Point?,The return of the machinery question,The rise of APIs
3320201327008235211,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Lists are the new search,This Super Accurate Portrait Selection Tech Uses Neural Networks,Up your app's sharing game with DirectShare - Google Developers,The barbell effect of machine learning.,Artificial intelligence is changing SEO faster than you think
3322348437880079228,Ultimate AI battle - Apple vs. Google,Lists are the new search,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Artificial intelligence is changing SEO faster than you think,The barbell effect of machine learning.,This Super Accurate Portrait Selection Tech Uses Neural Networks
3367026768872537336,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,My favorite people and resources to learn Android programming from,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Criando ícones animados no Android,Advanced Android Espresso,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
3382511589554885024,Facebook's WhatsApp does something very different than Google,A New Number Format for Computers Could Nuke Approximation Errors for Good,Bot Engine,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Google may be considering Swift for use on Android,Meet Aquifer: A build system for easier Drupal development
3467834993860080188,15 Interesting JavaScript and CSS Libraries for October 2016,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Visa inaugura centro para inovação em pagamento digital | EXAME.com,bliki: StranglerApplication,Acesse a versão Material Design do YouTube | Google Discovery
3472032465864014134,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Netflix emociona com vídeo destacando personagens LGBT,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"No dia das mães, Avon lança campanha com mãe de jovem gay",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
3495098006178009360,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Squads não-suicidas - Hipsters #08,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",Closure Compiler in JavaScript,Google's cloud platform is now a force to be reckoned with,Internet of Things Drives Outcome-Based Business Models
3569727790804487273,DualShock 4 Repair,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Acesse a versão Material Design do YouTube | Google Discovery,How I sped up the initial render of my Polymer app by 86%,The Business Case for Progressive Web Apps,"A whole new GitHub Universe: announcing new tools, forums, and features"
3579921471626387620,Dicionário de Segurês,Angular 2 versus React: There Will Be Blood - Free Code Camp,What is WebAssembly? The Dawn of a New Era - JavaScript Scene,Google researchers teach AIs to see the important parts of images - and tell you about them,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Python Is Not Java (dirtSimple.org)
3598164602856140626,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Cracking the Job Interview with TensorFlow,Python Is Not Java (dirtSimple.org),Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Why porting an iOS design to Android will not work,Decentralizing IoT networks through blockchain
3608243634452078989,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Agronegócio mantém crescimento com tecnologia - inova.jor,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Google Cloud Goes to the Farm,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões
3611701510490148233,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,Accidental discovery could help batteries last years longer,Facebook's WhatsApp does something very different than Google,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Will blockchain drive the fourth Industrial Revolution?,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
3616722904601574426,"Explorando o novo .NET multiplataforma: ASP.NET Core, .NET Core e EF Core",DBA BRASIL no INTEROPMIX 2016,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Things you probably didn't know you could do with Chrome's Developer Console,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",How it feels to learn Javascript in 2016
3660989387512978561,Discutindo Devops na Prática,Most Interesting APIs in 2016: Cognitive Computing,LPIC-OT DevOps Engineer | Linux Professional Institute,What's the Best Programming Language to Learn in 2017?,Arquitetura de Microserviços habilitando APIs - Sensedia,When to make a Git Commit
3689128258624052102,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo),The Best Linux Distros of 2016,"Hello, TensorFlow!",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits
3716124214746295857,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Introduction to Natural Language Processing - University of Michigan | Coursera,Google lança experimentos com inteligência artificial | Google Discovery,7 Questions to Ask Before Your Next Digital Transformation,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Blaise Agüera y Arcas: How computers are learning to be creative
3739926497176994524,Resenha - A Chegada,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Python Is Not Java (dirtSimple.org),"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Cracking the Job Interview with TensorFlow,Testes unitários vs aceitação - Android Dev BR
3779434447835779494,"Hello, a nova rede social do Orkut, está liberada no Brasil",Google is quietly recording everything you say. Here's how to hear it,Google lança YouTube Kids no Brasil | Google Discovery,Acesse a versão Material Design do YouTube | Google Discovery,"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",Prisma for Android is now live for all in the Google Play Store
3779639438468810958,The return of the machinery question,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Artificial intelligence produces realistic sounds that fool humans,"Hello, TensorFlow!",Wide & Deep Learning: Better Together with TensorFlow,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net"
3818189513627822856,"Autofill: What web devs should know, but don't",Artificial intelligence is changing SEO faster than you think,Beyond Progressive Web Apps Part 1,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",The barbell effect of machine learning.
3825866166263569974,Piloto de caça criado por inteligência artificial vence humano em combate simulado,You won't recognize the new world of digital payments without this report,The return of the machinery question,"Telecoms open shop on Madison Avenue, but will brands buy?",Artificial intelligence produces realistic sounds that fool humans,Nintendo has doubled in value since Pokémon Go's release
3881851296308711302,Developing Android unit and instrumentation tests - Tutorial,Top 5 Android Testing Frameworks with Examples,Creating Compound Views on Android,How Do Top Android Developers QA Test Their Apps?,Firebase and Google Cloud: better together,Cracking the Job Interview with TensorFlow
3906974906788964502,Modelando APIs REST com Swagger,19 Tips For Everyday Git Use,15 Awesome Sublime Text Plugins For Web Development,Sam Newman - Backends For Frontends,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Machine Learning Is No Longer Just for Experts
